Exercise,Count
Barbell Curl,2519613
Barbell Shrug,367418
Bench Press,47575817
Bent Over Dumbbell Row,82143
Bent Over Row,2109051
Chin Ups,1204729
Close Grip Bench Press,436876
Decline Crunch,112321
Dumbbell Calf Raise,149948
Dumbbell Curl,3537848
Dumbbell Lateral Raise,1173382
Dumbbell Reverse Curl,42224
Dumbbell Shoulder Press,2065745
Dumbbell Side Bend,96485
EZ Bar Curl,442910
Goblet Squat,375232
Hammer Curl,723865
Incline Dumbbell Bench Press,2256930
JM Press,92621
Lying Dumbbell Tricep Extension,163048
Military Press,885427
Pull Ups,4694550
Romanian Deadlift,1095105
Squat,24452082
Wrist Curl,172822
